text,y_true,y_pred,confidence,correct
"Gilchrist confident about India tour SYDNEY, Sep 25: Australia #39;s stand-in captain and wicketkeeper Adam Gilchrist has said that his twin responsibilities will not come in the way of seeking a winning start for his team against India in next month #39;s Test series.",1,1,0.14946836233139038,True
Israeli Tanks Surge Into Gaza Refugee Camp -Witnesses  GAZA (Reuters) - A column of Israeli tanks surged into the  heart of the Jabalya refugee camp in the northern Gaza Strip on  Thursday as the army broadened its sweep for militants behind a  deadly rocket attack on an Israeli town.,0,3,0.09269389510154724,False
"Microsoft, EU Officials in Procedure Meeting Microsoft (Quote, Chart) and representatives of the European Union #39;s Competition Commission will sit down at the table together on Thursday, but it won #39;t be to eat.",2,2,0.19795018434524536,True
"Nevada Implements 1st Touch-Screen Voting Machines With Paper-Trail By RACHEL KONRAD     CARSON CITY, Nev. (AP) -- In what could become a model for other states, Nevada voters on Tuesday became the first in the nation to cast ballots in a statewide election on computers that printed paper records of electronic ballots...",3,3,0.17305439710617065,True
"Public warning over letter bombs The discovery of 10 letter bombs has prompted a police warning to the public to exercise caution. Bedfordshire Police said none of the improvised devices - containing lighter fluid - had ignited, despite the fact that some had been opened.",0,3,0.04447947442531586,False
Athletics: Dominant Phillips takes long jump gold ATHENS - Dwight Phillips of the United States completed a hat-trick of global long jump titles when he crushed the field with his opening leap in Thursday #39;s final to win Olympic gold.,1,1,0.16106118261814117,True
"UN aid plane shot at in Ivory Coast Abidjan - A United Nations World Food Programme (WFP) plane was met with gunfire and threats when it arrived in Man, western Ivory Coast, the UN said in a statement on Saturday.",0,0,0.13538452982902527,True
"Vampire: The Masquerade - Bloodlines Review November 17, 2004 - Most of us who #39;ve been gamers for a while are familiar with the history behind Troika, which was formed from key members of the Black Isle group that made the Fallout, among other talented individuals.",3,0,0.048470012843608856,False
"Israel Destroys Refugee Homes, Kills One GAZA CITY, Gaza Strip - A day after a mortar round killed an Israeli-American woman in a nearby settlement, the Israeli army charged into a Palestinian refugee camp Saturday, killing one person and tearing down 35 homes, witnesses and a U.N. aid official said...",0,0,0.09519392997026443,True
PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,3,2,0.1849800944328308,False
"SCHOOL #39;S OUT FOR STERNE A first win on the European Tour - any tour, in fact - is a notable feat in any golfer #39;s career. But the one by South African Richard Sterne in the Madrid Open yesterday deserves special mention.",1,1,0.1922273337841034,True
"Streaking Astros Clock Reds 11-5 (AP) AP - Astros pitcher Brandon Backe hit his first career homer, a two-run shot, and allowed one run in seven innings to keep Houston in the thick of the NL wild-card chase with an 11-5 rout of the Cincinnati Reds on Monday.",1,3,0.05829593539237976,False
"Kerry assails Bush troop withdrawal plan (AFP) AFP - Democratic White House hopeful Senator John Kerry warned that President George W. Bush's plan to withdraw 70,000 troops from Europe and Asia would hinder the war on terrorism and embolden North Korea.",0,0,0.08413161337375641,True
"TSA Deal Overpaid Boeing, Report Says Boeing Co. received at least \$49 million in excessive profits on a \$1.2 billion contract to supply explosives-detection systems to hundreds of the nation #39;s airports, the Department of Homeland ",2,3,0.15810129046440125,False
"Shares Gain While Oil Holds Near \$50  LONDON (Reuters) - European stock markets rose and absorbed  three separate share placings on Wednesday, boosted by Wall  Street's strong finish while oil prices held close to \$50 a  barrel ahead of U.S. oil inventory data.",2,2,0.1253417432308197,True
"Red Hat replaces CFO Red Hat on Thursday named Charles Peters Jr. as executive vice president and chief financial officer. Peters replaces Kevin Thompson, who unexpectedly announced his resignation in June, a few days before the ",2,2,0.12660139799118042,True
"Jobless Claims Rise Unexpectedly  WASHINGTON (Reuters) - The number of Americans filing  initial claims for jobless pay grew unexpectedly last week to  357,000, Labor Department data showed on Thursday, but an  official said an increase in the week after a public holiday  was typical.",2,3,0.06107591092586517,False
"Ballmer strikes big rivals from Microsoft shopping list LISBON - Customers watching for Microsoft Corp. to make a headline-grabbing buy in the business applications market faced disappointment Tuesday as company Chief Executive Officer Steven Ballmer ruled out acquisitions of PeopleSoft Inc., Oracle Corp. and SAP AG.",3,2,0.26104536652565,False
Auto Parts Sector Falls on Delphi News Investors sold off shares of auto parts makers Friday after Delphi Corp. issued a profit warning and said it would cut nearly 5 percent of its work force next year.,2,2,0.22264769673347473,True
Cisco joins WiMax Forum The networking giant formally signs on to the wireless broadband group as the organization's ranks increase.,3,3,0.14927782118320465,True
"Hasbro's No Conehead Its Saturday Night Live version of ""Trivial Pursuit"" is good strategy for staying ahead of age compression.",2,3,0.15594783425331116,False
"Intel dauphin Otellini becomes king Intel #39;s board has given the go ahead for the long anticipated shift in power from current CEO Craig Barrett to current President Paul Otellini Come May 18, Otellini will take over the chipmaker and become its fifth ever CEO.",2,3,0.09430649876594543,False
Top exec shares business lessons Jeff Raikes was working at Apple Computer in the early 1980s when a guy named Steve Ballmer called and asked him to interview for a product-management job at a small software outfit in the Seattle area.,3,2,0.36389991641044617,False
India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.,0,2,0.12780404090881348,False
"Ken Caminiti, 1996 NL MVP, Dies at Age 41 NEW YORK - Ken Caminiti, the 1996 National League MVP who later admitted using steroids during his major league career, died Sunday. He was 41...",0,1,0.12002746760845184,False
"The Next Shock: Not Oil, but Debt The American economic ship, which has weathered the recent run-up in crude oil prices, may be more vulnerable to sudden surges in the price of money.",2,2,0.21507130563259125,True
"Cocoa prices down but Ivorian exports still blocked World cocoa prices were down on Tuesday but off the day #39;s lows as exports remained on hold after mob violence and military clashes in Ivory Coast, the key global supplier, traders said.",0,2,0.08867175877094269,False
"Bellhorn Makes Big Noise for Red Sox  BOSTON (Reuters) - With a power-packed lineup that features  sluggers like Manny Ramirez and David Ortiz, it was Mark  Bellhorn who was the unlikely hero of Game One of the 100th  World Series with a two-run homer for the Boston Red Sox  Saturday.",1,1,0.15019969642162323,True
"Sugar Shane Not so Sweet (November 21, 2004). Ronald Winky Wright successfully defended his 154 lb. title for the sixth time in the highly anticipated rematch with the formerly sweet Sugar Shane Mosley ",1,1,-0.03849256783723831,True
"Egypt steps back on Gaza plan over Israeli attacks Egypt took a step back from plans to help the Palestinians prepare for an Israeli withdrawal from Gaza on Wednesday, saying it could not play its role in full as long as Israeli attacks on Palestinians continue.",0,0,0.0008923718705773354,True
"One held in Jakarta embassy blast probe Indonesian police said on Friday they had made their first arrest directly linked to last week #39;s deadly embassy bombing in Jakarta, detaining a man who delivered explosives to those blamed for the attack.",0,3,0.045537617057561874,False
"Security Beyond Antivirus Programs Comprehensive security programs that include firewall software, spyware defenses and diagnostic and repair tools are necessay to keep a PC in good health these days. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",3,3,0.14660924673080444,True
"Putin praises Ukraine #39;s leader Russian President Vladimir Putin has taken part in a live phone-in on Ukrainian TV, just days before the country #39;s presidential election.",0,1,0.06820765882730484,False
"Myskina, Kuznetsov to Play in Fed Cup (AP) AP - Anastasia Myskina and Svetlana Kuznetsova will lead Russia's Fed Cup team when it plays Austria in this month's semifinals. Defending champion France will feature Amelie Mauresmo and Mary Pierce in the other semifinal against Spain, which has won this event five times.",1,1,0.10135352611541748,True
"Oil price rise adds to airlines woes as losses continue The global airline industry is forecast to have made net losses of \$4.8bn this year, as the rise in the oil price has overwhelmed efforts by carriers to cut costs.",2,2,0.1716415286064148,True
"Yanks shock Twins, earn date with Sox: Another late rally erases 4 &lt;b&gt;...&lt;/b&gt; Just when you think you #39;ve seen it all, the Yankees devise a new way to win a game and torture their opponents. Last night, they somehow landed a spot in the American League ",1,1,0.18138694763183594,True
"United #39;s pension dilemma United Airlines says it likely will end funding for employee pension plans, a move that would be the largest ever default by a US company and could lead to a taxpayer-funded bailout rivaling the savings-and-loan fiasco of the 1980s.",2,2,0.10792987048625946,True
"Barrichello Wins Chinese Grand Prix SHANGHAI, China - Rubens Barrichello won the inaugural Chinese Grand Prix on Sunday, taking advantage of Formula One champion Michael Schumacher #39;s disastrous weekend and outlasting runner-up Jenson Button by just over a second.",1,1,0.041757404804229736,True
"Microsoft Browser Market Share Slips Slightly Microsoft Corp. #39;s (MSFT.O: Quote, Profile, Research) share of the browser market slipped slightly in recent months but still dominated with 92.",3,2,0.10154548287391663,False
UN 'must ignore cloning ban call' The UK's Royal Society urges the UN to ignore a call by President Bush to ban all forms of human cloning.,3,0,0.15829506516456604,False
"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",3,2,0.19706904888153076,False
"UPDATE 1-UPS buys CNF #39;s Menlo Worldwide United Parcel Service Inc. (UPS.N: Quote, Profile, Research) agreed to buy Menlo Worldwide Forwarding, a unit of CNF Inc. (CNF.N: Quote, Profile, Research) , for \$150 million in ",2,2,0.1295948624610901,True
Atlanta police arrest Braves player on DUI charge ATLANTA - An Atlanta Braves player is in the Atlanta Jail today after being arrested on a charge of driving under the influence. Members of the DUI Task Force arrested shortstop Rafael Furcal about 4:20 am ,1,1,0.09987755864858627,True
"Hewlett-Packard buys Synstar Palo Alto-based Hewlett-Packard Co. has bought IT services company Synstar plc, of Bracknell, England for about \$293.3 million. Synstar has some 1,500 customers across Europe, selling IT support for various computer platforms.",2,3,0.11249703168869019,False
"N.Korea called worst for press freedom Media watchdog Reporters Without Borders has labeled North Korea and Cuba the worst countries in terms of press freedom, with Denmark being the best.",0,0,0.07536488026380539,True
"Headshake to the SETI Headfake Did the famous screensaver, SETIhome, uncover the first strong evidence for an extraterrestrial signal? The SETI Institute's Seth Shostak discusses how hyperbole can misrepresent the last addition to a list of stellar candidates.",3,3,0.33055925369262695,True
"UnitedHealthcare pays \$3.5M to settle Medicare fraud claim UnitedHealthcare Insurance Co., a branch of UnitedHealth Group, will pay \$3.5 million to settle charges that it defrauded the Medicare program, the US Department of Justice announced Monday.",2,3,0.04493444412946701,False
Loeb extends lead over Solberg CARDIFF -- Championship leader Sebastien Loeb took two stage wins to boost his lead over Norwegian Petter Solberg as the Rally of Britain entered its second leg on Saturday.,1,1,0.06724489480257034,True
Level 3 Acquires Sprint #39;s Wholesale Dial-Up Internet Business Level 3 today announced that it has purchased Sprint #39;s wholesale dial-up Internet access business for \$34 million in cash. Sprint is one of the largest providers of wholesale dial-up service to ISPs in North America.,2,2,0.17243950068950653,True
"Michigan Gets Rose Bowl Berth Despite Loss to Ohio St.  COLUMBUS, Ohio (Sports Network) - Troy Smith threw for 241  yards and two touchdowns and ran for 145 yards and a score to  lead the Ohio State Buckeyes to a 37-21 victory over No. 7  Michigan in the final game of the regular season for both  teams.",1,1,0.03887484222650528,True
"Dodgers Nip Giants 3-2 in Crucial Series SAN FRANCISCO - Shawn Green can sit out Saturday knowing he was a huge help to the Dodgers during their crucial series against San Francisco. Green hit a two-run homer in Los Angeles' 3-2 victory over the Giants on Friday night, a day before the first baseman will miss a game to observe the Jewish holiday Yom Kippur...",0,1,0.11293935775756836,False
CHUCK JAFFE BOSTON (CBS.MW) -- A lot of people got excited when Fidelity Investments announced recently that it was cutting fees on five index mutual funds.,2,2,0.08654042333364487,True
"Moose bullish about chances This is Mike Mussina #39;s fourth postseason here, so he knows the drill. He understands that all of his bad memories of his disappointing season -- the Japan trip, his early-season struggles and ",1,1,0.0914599746465683,True
A PC in the toaster? How mod! photos There's also room in the humidor and the Darth Vader helmet. Take a gander at some strange and wonderful creations.,3,3,0.1382623016834259,True
"Hyundai signs deal for China truck plant Hyundai Motor Co. said yesterday that it has signed an agreement with a Chinese company, Jianghuai Automobile Corp., to build a commercial vehicle and engine plant in China #39;s Anhui province.",3,2,0.0844857469201088,False
"Ex-Philly Eagles Coach Nick Skorich Dies (AP) AP - Nick Skorich, head coach of the Philadelphia Eagles from 1961-63 and the offensive line coach on the 1960 championship team, has died at the age of 83.",1,1,0.04472288489341736,True
Roundup: Pleasantly Perfect takes Pacific Classic Favored Pleasantly Perfect took charge down the stretch to win by a length in the 14th running of the \$1 million Pacific Classic yesterday at Del Mar. Pleasantly ,1,1,0.09088759869337082,True
"Update 1: UAL Posts \$274M Loss, Capping Bad Quarter Record fuel costs and low air fares contributed to a \$274 million third-quarter loss for United Airlines #39; parent company, which warned again that labor costs must be slashed again soon in order for it to emerge from bankruptcy.",2,2,0.1875782310962677,True
"Bush won #39;t take Iran #39;s word for it CRAWFORD, Texas As President Bush sees it,  quot;the only good deal is one that #39;s verifiable. quot;. He #39;s applauding the efforts of some European countries to get Iran to honor its commitment to refrain from developing nuclear weapons.",0,0,0.08296410739421844,True
"Woods on Top at Rain-Soaked Dunlop Phoenix  MIYAZAKI, Japan (Reuters) - Tiger Woods fired a superb  five-under-par 65 in torrential rain to take a three-stoke lead  after the first round of the Dunlop Phoenix tournament  Thursday.",1,1,0.10164185613393784,True
Sharon 'at risk of assassination' Israel's opposition leader warns that the prime minister risks being assassinated over his Gaza disengagement plan.,0,1,-0.015064897015690804,False
"President Susilo stresses fighting against graft, terror as &lt;b&gt;...&lt;/b&gt; In line with his pledge made during the election campaign, Indonesian new President Susilo Bambang Yudhoyono stressed the importance of fighting corruption and terror while ",0,0,0.17324191331863403,True
"Arson attack on Jewish centre in Paris (AFP) AFP - A Jewish social centre in central Paris was destroyed by fire overnight in an anti-Semitic arson attack, city authorities said.",0,1,0.04500512033700943,False
"Bekele, Isinbayeva top track athletes Names Ethiopian distance runner Kenenisa Bekele and Russian pole vaulter Yelena Isinbayeva were named male and female athletes of the year by the world track and field federation. Isinbayeva set eight world records in 2004, including one while winning the gold medal at the Olympics. Bekele won the 10,000 meters in Athens and finished second to Hicham El Guerrouj in ...",1,1,0.20134121179580688,True
"James Lawton: In mourning for big fights of Las Vegas En route to Las Vegas for the world heavyweight title fight between Vitali Klitschko and Britain #39;s Danny Williams, there is, inevitably, an old stirring of that anticipation which is familiar to almost anyone who has attended a big fight.",1,1,0.183190256357193,True
"Microsoft: No extra licenses needed for multicore chips Customers that use the dual-core processors that Intel Corp. and Advanced Micro Devices Inc. (AMD) are expected to begin shipping next year will not need to buy extra licenses for Microsoft Corp. software, the software maker will announce Tuesday.",3,2,0.07931740581989288,False
NASA Cancels Hypersonic Flight NASA scrubbed its mission Monday to launch a pilotless plane that is capable of flying at 10 times the speed of sound. The launch of the X-43A was canceled due to technical problems.,3,3,0.1049746721982956,True
"Consumer spending jumped in September WASHINGTON - Consumers, who substantially slowed down their spending in late summer, roared back to life in September, boosting their purchases by 0.6 percent.",2,2,0.13307005167007446,True
"Editorial: Sub incident shows China #39;s stripes After days of speculation and a chase by Japanese destroyers and a surveillance plane, it has finally been determined that the nuclear submarine that intruded into Japanese territorial water between Okinawa and Taiwan was Chinese.",0,0,0.12763711810112,True
"Thrashers Owner Fined The NHL fined one of the owners of the Thrashers \$250,000 on Tuesday for saying the league would use replacement players next year if a new collective bargaining agreement isn't reached.",1,1,0.05402633920311928,True
"Different Shea provides late-game heroics for Hanover Hanover boys' soccer coach Jim Sylvia is beginning to see a pattern in his team's play. Luckily, it's not the kind of trend to complain about.",1,1,0.26994386315345764,True
China rebuffs Powell over Taiwan recommendation China has rebuffed suggestions by US Secretary of State Colin Powell that it consider accepting the Taiwanese President #39;s offer of talks to reduce cross-strait tension.,0,0,0.12846209108829498,True
Arsenal only manage draw LONDON - Arsenal manager Arsene Wenger has praised Thierry Henry #39;s speed of thought after the striker stroked home a quick free-kick that helped champions Arsenal to a 2-2 draw against Premiership leaders Chelsea at Highbury last night.,1,1,0.08268116414546967,True
"New Sony PC Boasts 1,000 GB of Storage (AP) AP - Japan's Sony Corp. will begin selling a computer and home-server system in Japan with 1,000 gigabytes of hard-drive storage  #151; enough to record six TV channels for a week straight  #151; the company said.",3,3,0.06250522285699844,True
"Two Michigan State receivers arrested on bomb-making charges Two Michigan State football players have been charged with planting homemade bombs outside apartments. Terry Love and Irving Campbell, both 19-year-old redshirt freshmen wide receivers ",1,1,0.04272761195898056,True
"Rebound in US consumer spending US consumer spending rebounded in July, a sign the economy may be emerging from an early summer decline. Consumer spending rose 0.8 last month, boosted by car and retail sales.",2,2,0.15014304220676422,True
"Dogs said to smell cancer signs  LONDON -- It has long been suspected that man's best friend has a special ability to sense when something is wrong with us. Now, the first experiment to verify that scientifically has demonstrated that dogs are able to smell cancer.",0,3,0.04037628695368767,False
Oil Falls to 4-Month Low on Signs of Heating-Oil Supply Rise Crude oil fell to the lowest in more than four months on speculation that warm weather and increased refinery production bolstered US heating-oil stockpiles last week.,2,2,0.08102423697710037,True
Victory so sweet after Athens collapse BRITAIN #39;S world record holder Paula Radcliffe ran away with the closest women #39;s winning margin in the history of the New York City marathon yesterday.,1,1,0.18087230622768402,True
"Wall St.'s Nest Egg - the Housing Sector  NEW YORK (Reuters) - If there were any doubts that we're  still living in the era of the stay-at-home economy, the rows  of empty seats at the Athens Olympics should help erase them.",2,1,0.2427951991558075,False
"Deutsche Bank to Sell Scudder Business to Legg Mason Deutsche Bank AG of Germany plans to sell its New York, Philadelphia, Cincinnati and Chicago offices of Scudder Private Investment Counsel to Legg Mason Inc. for \$55 million, plus payments of up to \$26 million, the company said Monday.",2,2,0.1206565797328949,True
Van driven by Arsenal quest for glory There #39;s little danger of Robin Van Persie getting carried away with himself. After scoring a dramatic first Premiership goal with the injury-time equaliser against Southampton ,1,1,0.046166855841875076,True
Oil Prices Sink to a Four-Month Low  LONDON (Reuters) - Oil prices sank to a four-month low  below \$41 for U.S. crude on Wednesday after leading OPEC  producer Saudi Arabia questioned the need for the cartel to  curb supplies.,2,2,0.03128254786133766,True
"Symantec Said to Be in Talks for Veritas Symantec, which produces the Norton line of computer products, is in talks to acquire Veritas Software, a maker of data backup programs.",2,3,0.0727703794836998,False
"Gold Fields loses high court bid to halt Harmony takeover South African mining giant Gold Fields lost a high court bid to halt a hostile takeover by rival Harmony Gold, which is seeking to create the world #39;s biggest gold producer, a court official said.",2,2,0.08308504521846771,True
"Google Enhances Discussion Groups Google is improving on the discussions its popular Web site hosts, hoping the upgrades will spur more online banter and make its market-leading search engine a richer destination.",3,3,0.24612808227539062,True
"The Handbag? Total Knockoff. The Price Tag? All Too Real. It is as much a rite of the New York holiday season as sidewalk Santas or crowded Fifth Avenue sidewalks: the proliferation of hawkers selling counterfeit products like the fake Fendi handbag, the replica Rolex watch and the pirated DVD.",2,2,0.07385481894016266,True
"Bedding Blip? Go Back to Sleep This is getting old. Every time Hidden Gems selection Select Comfort (Nasdaq: SCSS) gets settled in and ready for a long night #39;s rest full of dreams of two-times-in-three-years capital gains, along ",2,3,0.2238740622997284,False
"Mars water tops science honours The discovery that salty, acidic water once flowed across the surface of Mars has topped a list of the 10 key scientific advances of 2004.",0,3,0.36245161294937134,False
"France, Ivory Coast relations worsen Nine French peacekeepers were killed during an air raid by Ivorian bombers more than a week ago. France responded by destroying most of the Ivorian air force.",0,0,0.06292527914047241,True
"WordsWorth Books files Chapter 11 WordsWorth Books, a Harvard Square institution for 29 years, yesterday filed for bankruptcy protection, as its owners seek a buyer or investor to help the independent bookseller compete with giant rivals like Amazon.com.",2,2,0.1317465752363205,True
"Toys Will Be Toys Trust me, you don #39;t want to see desperate parents shopping over the holidays. I was at Circuit City (NYSE: CC) last week and saw a mother pleading with a sales clerk for a Nintendo DS portable video game system.",3,2,0.12130170315504074,False
"Vodafone begins 3G service Vodafone launches its third-generation services for mobile phones, offering video calls, music downloads and games.",2,3,0.1449124962091446,False
Klitschko too good for Williams Vitali Klitschko proved too strong for Danny Williams as he retained his world championship crown in Las Vegas last night. Williams vowed to continue boxing despite being outclassed by Klitschko.,1,1,0.06594625860452652,True
"Georgia Evolution Dispute Embarrasses Some Atlanta, Nov. 11 - First, Georgia #39;s education chief tried to take the word  quot;evolution quot; out of the state #39;s science curriculum.",3,3,0.15381282567977905,True
"Earth's Solar System Shaped by Brush with Star, Astronomers Say (SPACE.com) SPACE.com - The outer reaches of our solar system may have been shaped long ago by a close encounter with another star that tore up both nascent planetary systems like colliding buzz saws, astronomers said today.",3,3,0.13876983523368835,True
Oil Down 3 Pct. as U.S. Winter Stays Mild  NEW YORK (Reuters) - Oil prices slid 3 percent on Monday on  expectations that more mild U.S. weather at the start of the  New Year will limit heating oil demand.,2,2,0.053524889051914215,True
"Dell AC Adaptors Recalled October 8, 2004 - Dell Inc. is recalling about 2.9 million AC adapters nationwide_ 4.4 million worldwide_ used with notebook personal computers because they can overheat and cause a fire and electrical shock ",3,3,0.13624170422554016,True
"Bush takes a double-digit lead as Kerry campaign struggles to regroup (AFP) AFP - George W. Bush took a double-digit lead in what had been a neck-and-neck presidential election contest, prompting Democratic challenger John Kerry to refocus his campaign on bread-and-butter economic issues, where the Republican incumbent president is considered vulnerable.",0,3,0.11727219820022583,False
Cardinals Outslug Astros to Take Opening Game  NEW YORK (Reuters) - Jim Edmonds hit a three-run double to  key a six-run sixth inning as the St Louis Cardinals beat the  Houston Astros 10-7 in the opening game of the National League  Championship Series at Busch Stadium on Wednesday.,1,1,0.06972013413906097,True
"22 killed, 100 injured in Nagaland twin blasts : India News  gt; Guwahati, Oct 2 : At least 22 people, including women and children, were killed and over 100 injured when two simultaneous landmine blasts ripped through the busy railway station here and a crowded market place of this commercial town of ",0,0,0.06560719013214111,True
"Lucent's history a case study in wild rides If you've ever wondered what ignited America's late-1990s obsession with telecom and tech stocks, you could well argue it all started with Lucent Technologies .",2,3,0.37608802318573,False
"Students crazy about iPod follow the music to Apple laptops (USATODAY.com) USATODAY.com - Apple's trendy iPod digital music player, which has revitalized the company, is giving laptop sales a boost during back-to-school season.",3,3,0.3043186664581299,True
"Patriots have memory to feel sorry about Do not bring up last season. Patriots coach Bill Belichick despises talk of the past, except when it helps him prepare his team for the upcoming week.",1,1,0.09568504989147186,True
Sri Lanka batsman fined as Pakistan tie series Sri Lanka #39;s Kumar Sangakkara has been fined 30 of his match fee for showing dissent during the fourth day of the second Test against Pakistan in Karachi.,1,1,0.09091398119926453,True
"General Mills converting all US cereals to whole grain GOLDEN VALLEY, Minn. -- Breakfast cereal maker General Mills is converting all of its cereals to whole grain. The company says it becomes the first leading food company to make the move involving cereals.",2,2,0.1064707338809967,True
Butt waits on Uefa ruling Newcastle midfielder Nicky Butt is facing up to the possibility of a European three-match ban. The 29-year-old was sent off during Newcastle #39;s 2-0 Uefa Cup win against Hapoel Bnei Sakhnin for grabbing Abas Suan by the throat.,1,1,0.019095662981271744,True
"Taking Advantage of the Terminally Stupid Would you pay \$4 for something that, at best, is worth a dime? Concord Communications shareholders would.",2,2,0.18735724687576294,True
West Japan on Guard for Aftershocks After Quakes  TOKYO (Reuters) - Residents of western Japan were warned of  possible aftershocks on Monday after two strong earthquakes the  previous day but authorities said the tremors were not directly  linked to a cycle of major seismic activity that hits the  region every century or so.,0,0,0.09208299219608307,True
Bush Blames Poorly Made Shirt for Bulge (AP) AP - President Bush sees the value  #151; and the humor  #151; in the idea that aides could secretly feed him advice through a radio receiver hidden on his back.,0,3,0.12603935599327087,False
Black Watch troops move into position The first units of a Black Watch battlegroup are due to arrive today in their new positions south of Baghdad as Tony Blair indicated that more British troops may replace them in the American-controlled zone before the end of the year.,0,2,0.05678017437458038,False
Are Gunners in crisis? Gunners have won just one of their last six Prem- iership games and could go out of the Champions League if they fail to beat Rosenborg on Tuesday.,1,1,-0.00020479224622249603,True
BSkyB sees profits rise after strong subscriber growth (AFP) AFP - British satellite broadcaster BSkyB said profit rose by 16 percent in the first quarter as the group enjoyed strong subscriber growth in the run-up to the key Christmas trading period.,0,2,0.23281672596931458,False
Al Qaeda Urge Wide-Scale Muslim Resistance Al Qaeda #39;s No. 2 man Ayman Zawahiri called for an all-out armed resistance in the Muslim world against the West and Jews whom he described as crusaders.,0,0,0.14458981156349182,True
Final Round in Cable-ISP Fight The U.S. Supreme Court has agreed to hear whether cable operators must give access to their lines to third-party ISPs. Michael Grebb reports from Washington.,3,3,0.12980355322360992,True
"For starters, Giants #39; Manning on mark Manning had a decent debut as a starter, but Delhomme overshadowed the No. 1 pick in the NFL Draft by throwing for a touchdown and running for another in the Carolina Panthers #39; 27-20 exhibition victory last night over ...",1,1,0.11798276007175446,True
"PeopleSofts big bash See you next year in Las Vegas , proclaimed a marquee at the PeopleSoft user conference in San Francisco in late September. It was one of many not-so-subtle attempts by the company to reassure its customers ",2,2,0.19783858954906464,True
EBay #39;s Buy Of Rent.com May Lack Strategic Sense Standard  amp; Poor #39;s Equity Research said the purchase of Rent.com by eBay (nasdaq: EBAY - news - people ) could be a bit of a miscalculation.,2,2,0.23704200983047485,True
